siteid,station name,station contry,total samples,imbalance degree,weight factor,f1,recall,precision,f2,roc_auc,accuracy,log_loss
415510,Kosetice,Czech Republic,5969,2.7588,2.7588,0.8384,0.8363,0.8405,0.8371,0.969,0.9143,0.2601
415511,KMŚ Puszcza Borecka,Poland,6117,4.7653,3,0.7471,0.7358,0.7588,0.7403,0.9487,0.9137,0.2716
415512,Haunsberg,Austria,7719,2.303,2.303,0.8324,0.8459,0.8192,0.8404,0.9637,0.8969,0.3099
415514,Capo Granitola,Italy,497,1.2489,1.2489,0.8547,0.9091,0.8065,0.8865,0.9395,0.864,0.3347
415515,"""Stara Lesna - AU SAV EMEP/O3""",Slovakia,6551,3.141,3.141,0.75,0.803,0.7035,0.7809,0.9444,0.8706,0.267
415518,Pic du Midi,France,2712,0.8939,0.8939,0.8204,0.8296,0.8115,0.8259,0.8827,0.8085,0.4302
415519,Eibergen,Netherlands,3048,9.5467,2,0.7123,0.7222,0.7027,0.7182,0.9737,0.945,0.1832
415523,St. Koloman,Austria,3887,1.8793,1.8793,0.8676,0.8754,0.8601,0.8723,0.9664,0.9074,0.2479
415525,Verneuil,France,871,6.6404,2,0.5667,0.5862,0.5484,0.5782,0.9334,0.8807,0.2251
415526,Kerry Valentia Observatory,Ireland,4417,11.4774,11.4774,0.5714,0.6136,0.5347,0.596,0.9326,0.9267,0.1761
415527,Lerwick - UKA00486,United Kingdom of Great Britain and Northern Ireland,2844,25.8302,4,0.2927,0.2308,0.4,0.2521,0.9121,0.9593,0.1209
415530,Lückendorf,Germany,4112,3.9011,3.9011,0.7722,0.7667,0.7778,0.7689,0.9614,0.9077,0.2224
415531,Logroño,Spain,2167,2.8696,2.8696,0.8389,0.8929,0.7911,0.8705,0.9616,0.9114,0.2286
415534,Vezin,Belgium,6801,7.0868,3,0.7781,0.7429,0.8168,0.7565,0.9757,0.9477,0.1885
415535,Lough Navar - UKA00166,United Kingdom of Great Britain and Northern Ireland,8037,40.8594,2,0.5155,0.5208,0.5102,0.5187,0.9712,0.9766,0.0587
415536,"""Ulborg""",Denmark,7258,8.4876,2,0.6611,0.623,0.7041,0.6377,0.948,0.9328,0.1702
415537,Sonnblick,Austria,5926,0.5619,0.5619,0.885,0.8841,0.886,0.8845,0.9224,0.8529,0.4292
415538,Monte Velho,Portugal,4869,4.7758,4,0.6847,0.7204,0.6524,0.7057,0.936,0.8851,0.2463
415540,Aliartos,Greece,3874,4.3657,4,0.7899,0.8619,0.729,0.8316,0.9633,0.9143,0.2136
415541,Iskrba,Slovenia,4579,1.8637,1.8637,0.8457,0.8975,0.7996,0.876,0.9625,0.8856,0.2531
415545,Deuselbach,Germany,5624,3.7261,3.7261,0.8065,0.8389,0.7764,0.8256,0.969,0.9147,0.2686
415546,Charlton Mackrell - UKA00537,United Kingdom of Great Britain and Northern Ireland,2565,22.5321,4,0.6038,0.5926,0.6154,0.597,0.9279,0.9673,0.1053
